[0.43668583, 0.5633142]
[0.3804756, 0.61952436]
[0.3088299, 0.6911701]
[0.22677892, 0.77322114]
[0.18993783, 0.81006217]
[0.18084309, 0.8191569]
[0.19031589, 0.80968416]
[0.20574965, 0.7942503]
[0.19852751, 0.8014724]
[0.20370871, 0.7962913]
[0.21044724, 0.78955275]
[0.21633026, 0.78366977]
[0.22100484, 0.77899516]
[0.29754412, 0.7024559]
[0.33158264, 0.66841733]
[0.34814224, 0.6518578]
[0.3661445, 0.63385546]
[0.38385138, 0.61614865]
[0.3963363, 0.60366374]
[0.40627906, 0.593721]
[0.41277376, 0.5872263]
[0.44326836, 0.5567316]
[0.46385342, 0.53614664]
[0.4775642, 0.52243584]
[0.48653787, 0.5134622]
[0.49243262, 0.50756735]
[0.49638376, 0.5036162]
[0.49911064, 0.50088936]
[0.501054, 0.498946]
[0.50248194, 0.4975181]
[0.5035594, 0.49644065]
[0.5043904, 0.49560955]
[0.50504255, 0.4949575]
[0.5055612, 0.49443886]
[0.50597787, 0.49402213]
[0.5063153, 0.49368474]
[0.5065901, 0.49340984]
[0.50681514, 0.49318492]
[0.50699985, 0.4930001]
[0.50715214, 0.49284783]
[0.5072779, 0.49272206]
[0.50738204, 0.492618]
[0.50746834, 0.49253166]
[0.50754, 0.49245998]
[0.50759965, 0.49240035]
[0.50764936, 0.4923507]
[0.5252883, 0.47471166]
[0.5328514, 0.4671486]
[0.53903437, 0.46096563]
[0.5447197, 0.45528024]
[0.5497759, 0.45022416]
[0.55411094, 0.4458891]
[0.5577365, 0.44226342]
[0.5607192, 0.4392808]
[0.5631445, 0.43685555]
[0.56509954, 0.43490037]
[0.5666648, 0.4333352]
[0.567911, 0.432089]
[0.56889856, 0.43110153]
[0.5696779, 0.43032217]
[0.5702907, 0.42970935]
[0.5707709, 0.42922908]
[0.571146, 0.42885402]
[0.5714379, 0.42856207]
[0.57166415, 0.4283358]
[0.5718389, 0.42816105]
[0.5719732, 0.42802685]
[0.57207566, 0.42792434]
[0.5721533, 0.42784673]
[0.57221156, 0.42778847]
[0.5722548, 0.4277453]
[0.58155674, 0.4184433]
[0.5863504, 0.41364965]
[0.5882611, 0.41173887]
[0.5891562, 0.4108437]
[0.58984125, 0.4101587]
[0.59054077, 0.40945923]
[0.5912623, 0.40873778]
[0.5919618, 0.40803817]
[0.5926017, 0.4073983]
[0.5931622, 0.40683782]
[0.5936387, 0.40636125]
[0.59403616, 0.40596387]
[0.5943638, 0.40563622]
[0.5946325, 0.40536752]
[0.59485257, 0.40514743]
[0.59503335, 0.40496668]
[0.59518284, 0.4048172]
[0.5953073, 0.40469277]
[0.59541196, 0.4045881]
[0.5955008, 0.40449914]
[0.5955772, 0.40442288]
[0.59564346, 0.4043565]
[0.59570175, 0.40429825]
[0.5957534, 0.4042467]
[0.59579957, 0.40420046]
[0.59584117, 0.4041588]
[0.59587896, 0.40412104]
[0.5959135, 0.40408647]
[0.5959452, 0.40405476]
[0.5959744, 0.40402558]
[0.59600145, 0.40399858]
[0.5960265, 0.40397358]
[0.59604967, 0.40395033]
[0.59607124, 0.40392876]
[0.5960914, 0.40390858]
[0.5961101, 0.40388992]
[0.59612757, 0.40387246]
[0.5961439, 0.40385613]
[0.5961591, 0.403841]
[0.5961732, 0.40382677]
[0.59618646, 0.40381354]
[0.5961988, 0.40380114]
[0.59621036, 0.40378967]
[0.5962211, 0.40377888]
[0.5962311, 0.4037689]
[0.59624046, 0.4037596]
[0.5962492, 0.40375075]
[0.5962573, 0.40374264]
[0.5962649, 0.40373504]
[0.596272, 0.403728]
[0.59627867, 0.4037214]
[0.59628487, 0.40371516]
[0.5962906, 0.40370944]
[0.5962958, 0.40370417]
[0.5963008, 0.4036992]
[0.5963054, 0.4036946]
[0.59630966, 0.40369037]
[0.5963137, 0.40368629]
[0.59631747, 0.40368256]
[0.5963209, 0.40367907]
[0.59632415, 0.40367585]
[0.5963271, 0.40367287]
[0.5963299, 0.40367004]
[0.5963326, 0.40366736]
[0.59633505, 0.40366498]
[0.59633726, 0.4036627]
[0.59633946, 0.40366057]
[0.5963414, 0.40365854]
[0.5963432, 0.40365678]
[0.59634495, 0.40365508]
[0.59634644, 0.40365356]
[0.5963479, 0.40365207]
[0.5963493, 0.40365067]
[0.5963506, 0.40364942]
[0.59635174, 0.40364826]
[0.59635293, 0.40364707]
[0.59635395, 0.40364605]
[0.5963549, 0.40364513]
[0.59635574, 0.40364432]
[0.5963566, 0.40364346]
[0.59635735, 0.4036427]
[0.5963581, 0.40364194]
[0.5963587, 0.40364128]
[0.5963594, 0.40364063]
[0.59635997, 0.40364006]
[0.59636045, 0.4036395]
[0.596361, 0.403639]
[0.5963614, 0.40363863]
[0.59636194, 0.40363812]
