[0.5360796, 0.46392035]
[0.584889, 0.415111]
[0.60602176, 0.3939782]
[0.5949383, 0.4050617]
[0.59387654, 0.40612352]
[0.60591877, 0.39408132]
[0.64636683, 0.3536332]
[0.66009897, 0.33990106]
[0.6767658, 0.32323426]
[0.7210331, 0.2789669]
[0.73614013, 0.2638599]
[0.7422553, 0.2577448]
[0.75283587, 0.24716413]
[0.7821173, 0.2178827]
[0.8244077, 0.17559227]
[0.8405936, 0.15940635]
[0.84552926, 0.15447073]
[0.8544597, 0.14554027]
[0.8610185, 0.13898145]
[0.8652818, 0.1347182]
[0.86805236, 0.1319477]
[0.8699276, 0.13007243]
[0.86264086, 0.13735914]
[0.85115176, 0.14884819]
[0.81993616, 0.1800638]
[0.80366176, 0.19633818]
[0.79530615, 0.2046938]
[0.77674687, 0.22325322]
[0.7669411, 0.23305894]
[0.76207024, 0.23792976]
[0.7596689, 0.24033113]
[0.75845814, 0.24154177]
[0.7578225, 0.24217746]
[0.75747186, 0.24252808]
[0.75726944, 0.24273065]
[0.757148, 0.24285196]
[0.7426843, 0.2573157]
[0.7327648, 0.2672352]
[0.726658, 0.273342]
[0.72280395, 0.27719608]
[0.7011513, 0.29884872]
[0.6918572, 0.30814284]
[0.6891667, 0.31083325]
[0.6893673, 0.31063268]
[0.69064224, 0.30935785]
[0.6921931, 0.3078069]
[0.69369614, 0.3063039]
[0.6950371, 0.30496287]
[0.69619095, 0.30380905]
[0.69716775, 0.30283228]
[0.6979891, 0.3020109]
[0.69867873, 0.3013212]
[0.69925845, 0.30074152]
[0.69974685, 0.30025315]
[0.7001595, 0.29984054]
[0.700509, 0.29949096]
[0.7008061, 0.29919395]
[0.70105904, 0.298941]
[0.70127505, 0.29872498]
[0.70145965, 0.29854035]
[0.70161784, 0.2983822]
[0.7017536, 0.29824644]
[0.7018702, 0.2981298]
[0.68245155, 0.31754845]
[0.6728198, 0.32718027]
[0.66784936, 0.33215067]
[0.66537726, 0.3346228]
[0.66424584, 0.33575413]
[0.66381, 0.33618996]
[0.6637169, 0.3362831]
[0.6637795, 0.33622047]
[0.6639026, 0.33609748]
[0.6640392, 0.33596084]
[0.6641687, 0.3358313]
[0.6642829, 0.33571705]
[0.66438, 0.33562002]
[0.6644609, 0.33553913]
[0.6645276, 0.3354724]
[0.6645822, 0.3354178]
[0.6646269, 0.3353731]
[0.66466343, 0.3353366]
[0.66469336, 0.33530664]
[0.6193442, 0.3806558]
[0.6360078, 0.36399218]
[0.6015986, 0.39840135]
[0.5773973, 0.42260268]
[0.56306976, 0.43693018]
[0.55472815, 0.44527185]
[0.5496723, 0.45032775]
[0.54643005, 0.45356992]
[0.54423887, 0.4557612]
[0.5426948, 0.45730516]
[0.5415727, 0.45842734]
[0.54073864, 0.45926142]
[0.5401079, 0.45989215]
[0.53962505, 0.460375]
[0.5392516, 0.46074834]
[0.5389605, 0.46103942]
[0.53873223, 0.46126777]
[0.5385523, 0.4614477]
[0.53841, 0.46159002]
[0.538297, 0.46170303]
[0.538207, 0.46179298]
[0.5381353, 0.46186465]
[0.53807795, 0.46192202]
[0.53803205, 0.46196797]
[0.5379952, 0.4620048]
[0.53796566, 0.46203434]
[0.537942, 0.46205804]
[0.53792286, 0.46207714]
[0.5379074, 0.46209258]
[0.5378951, 0.4621049]
[0.53788507, 0.46211487]
[0.53787696, 0.46212298]
[0.5378705, 0.4621295]
[0.5378652, 0.46213487]
[0.53786093, 0.462139]
[0.5378575, 0.46214256]
[0.5378547, 0.4621454]
[0.53785235, 0.4621476]
[0.5378506, 0.4621494]
[0.537849, 0.46215096]
[0.53784776, 0.4621522]
[0.53784686, 0.4621532]
[0.5378461, 0.4621539]
[0.53784543, 0.46215457]
[0.5378449, 0.46215513]
[0.5378444, 0.46215552]
[0.53784406, 0.46215585]
[0.5378438, 0.46215624]
[0.5378435, 0.46215641]
[0.53784347, 0.46215656]
[0.5378433, 0.46215674]
[0.5378431, 0.46215683]
[0.537843, 0.46215698]
[0.5378429, 0.46215707]
[0.53784287, 0.4621571]
[0.5378428, 0.46215722]
[0.5378428, 0.46215728]
[0.5378428, 0.46215728]
[0.5378427, 0.46215725]
[0.5378427, 0.46215728]
[0.5378427, 0.46215734]
[0.5378427, 0.46215728]
[0.53784263, 0.46215734]
[0.53784263, 0.4621573]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.46215737]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.5378426, 0.4621574]
[0.5378426, 0.4621574]
[0.5378426, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
[0.53784263, 0.4621574]
